nohup: ignoring input

 ┌───────────────────────────────────────────────────┐ 
 │                   Fiber v2.52.5                   │ 
 │               http://127.0.0.1:4000               │ 
 │       (bound on host 0.0.0.0 and port 4000)       │ 
 │                                                   │ 
 │ Handlers ............ 97  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 69615 │ 
 └───────────────────────────────────────────────────┘ 

00:56:18 | 200 |    17.12428ms | 192.168.37.86 | GET | /auth/login | -
00:56:18 | 304 |      120.79µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:57:39 | 200 |    16.74305ms | 192.168.37.86 | GET | /auth/login | -
00:59:22 | 200 |   19.385495ms | 192.168.37.86 | GET | /auth/login | -
00:59:23 | 200 |   32.251886ms | 192.168.37.86 | GET | /auth/login | -
00:59:49 | 200 |   31.908808ms | 192.168.37.86 | GET | /auth/login | -
00:59:49 | 304 |     114.452µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:59:50 | 200 |    17.89846ms | 192.168.37.86 | GET | /auth/login | -
00:59:56 | 200 |    18.73272ms | 192.168.37.86 | GET | /auth/login | -
01:00:36 | 200 |   15.792281ms | 192.168.37.86 | GET | /auth/login | -
01:01:09 | 200 |   15.753407ms | 192.168.37.86 | GET | /auth/login | -
01:01:10 | 200 |   17.218224ms | 192.168.37.86 | GET | /auth/login | -
01:01:18 | 200 |   17.957557ms | 192.168.37.86 | GET | /auth/login | -
01:01:18 | 200 |   29.132227ms | 192.168.37.86 | GET | /plugins/fontawesome-free/css/all.min.css | -
01:01:18 | 200 |    2.008327ms | 192.168.37.86 | GET | /plugins/icheck-bootstrap/icheck-bootstrap.min.css | -
01:01:18 | 200 |    1.349175ms | 192.168.37.86 | GET | /dist/img/login-cupcake.png | -
01:01:18 | 200 |  126.612515ms | 192.168.37.86 | GET | /plugins/jquery/jquery.min.js | -
01:01:18 | 200 |  121.374225ms | 192.168.37.86 | GET | /dist/js/adminlte.min.js | -
01:01:18 | 200 |  184.421305ms | 192.168.37.86 | GET | /plugins/bootstrap/js/bootstrap.bundle.min.js | -
01:01:18 | 200 |  426.884539ms | 192.168.37.86 | GET | /dist/css/adminlte.min.css | -
01:01:19 | 200 |     368.147µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
01:01:19 | 200 |    6.394339ms | 192.168.37.86 | GET | /plugins/fontawesome-free/webfonts/fa-solid-900.woff2 | -
01:01:19 | 200 |     737.709µs | 192.168.37.86 | GET | /favicon.ico | -
01:01:22 | 200 |    5.932754ms | 192.168.37.86 | GET | /plugins/fontawesome-free/webfonts/fa-brands-400.woff2 | -
01:01:22 | 200 |    1.863895ms | 192.168.37.86 | GET | /plugins/fontawesome-free/webfonts/fa-regular-400.woff2 | -
01:03:07 | 200 |   25.729048ms | 192.168.37.86 | GET | /auth/login | -
01:03:07 | 304 |     146.533µs | 192.168.37.86 | GET | /dist/css/adminlte.min.css | -
01:03:08 | 200 |   14.501612ms | 192.168.37.86 | GET | /auth/login | -
